case_id,source_file,sha256,status,strict_snapshot_closed,provider_families
ca2-441ed1a86d9edadc1707,ca2-441ed1a86d9edadc1707.json,46f8e6b4388b3b854b98fa370f9fac515b047baca2904e650ac9993d7de711dd,VERIFIED,True,alchemy|infura
ca2-444479add25939f22fc7,ca2-444479add25939f22fc7.json,1f3d80ac435cb9613903ec84f1cfd862c65c8d5d550e6d07305adf670ff920eb,VERIFIED,True,alchemy|infura
ca2-4565d5902877fc12ffa7,ca2-4565d5902877fc12ffa7.json,15d8d1b1312798b2b0308f3fa9cb7a3e2db5df7051d6e5c2d639a95e3eb42b4a,VERIFIED,True,alchemy|infura
ca2-470ed35ca97a31cab7dd,ca2-470ed35ca97a31cab7dd.json,4f3268982a105dc7c1efe852a177da950cebc9b77b031d109fd846e1b5bf2dba,VERIFIED,True,alchemy|infura
ca2-47d01daca3ef9c1ed2f1,ca2-47d01daca3ef9c1ed2f1.json,bd8f71c636ef3fadec7ace88b26706cfaed22e91e305ed574a81019cb82a922f,VERIFIED,True,alchemy|infura
ca2-48d4577fa72f25875ad3,ca2-48d4577fa72f25875ad3.json,5e8589c9571c309dc186a3970cfa90af247d98f729eab55a133173989b96eff0,VERIFIED,True,alchemy|infura
ca2-4ab53dc147bf1894e356,ca2-4ab53dc147bf1894e356.json,83e94db113671d1fc85d6d7ad8e72141f04b50b7fc28916356b8bfaf8c07d467,VERIFIED,True,alchemy|infura
ca2-4b9009f78d24b677e07e,ca2-4b9009f78d24b677e07e.json,4428a77c88227a246f09ea47478a5b9e384116e5eeb0e5fb0e9fcca838b06014,VERIFIED,True,alchemy|infura
ca2-4c0faea601ab4a95ced8,ca2-4c0faea601ab4a95ced8.json,795612154c9fe2063e208b9ee9e589b8062cb8f365abd9f2ee8262451201c23a,VERIFIED,True,alchemy|infura
ca2-4c7dcc457e38b7cc78ee,ca2-4c7dcc457e38b7cc78ee.json,7dc84dff8b7db3ef03fcf3122e137fb131d718b6aad22522135e39f1657da349,VERIFIED,True,alchemy|infura
ca2-4cd0e024b3073b041691,ca2-4cd0e024b3073b041691.json,006274cbd3c2ead85614eb1a9bedaceac5732206be68955ab86d8dc40355c710,VERIFIED,True,alchemy|infura
ca2-4d6568a7691d786971d0,ca2-4d6568a7691d786971d0.json,5c6f257c424c01094f0fa43e82df13ee4b84ebb69caf610bab83f7423cef0b18,VERIFIED,True,alchemy|infura
ca2-4de34020e1fa2eaee68a,ca2-4de34020e1fa2eaee68a.json,9d596c7b30c810719587c4a6eb4ae342314ed38ddd87632230fe45ca74e23dff,VERIFIED,True,alchemy|infura
ca2-4e64c62c912196653625,ca2-4e64c62c912196653625.json,c64b5fd12e95b9a0fa44ec240fb1274281ff4b24699cd445b30fc12ebc7122ff,VERIFIED,True,alchemy|infura
ca2-4f5a0a76d69326e4c2cd,ca2-4f5a0a76d69326e4c2cd.json,954a758aff5a64563c672026462c97bc710be827bbbcded60cdfed8d9af744a0,VERIFIED,True,alchemy|infura
ca2-5011063427fa6a95c108,ca2-5011063427fa6a95c108.json,37faa9490e75c502939babb28ebdd35cb00fa70289e873178ed453e4387e56a7,VERIFIED,True,alchemy|infura
ca2-5015a9e901810cc6c613,ca2-5015a9e901810cc6c613.json,66a2a547ebee9c5219c1766f51de4bffca04f19e9f3e249a7615d7377aa52159,VERIFIED,True,alchemy|infura
ca2-5033d73f3cec5063c5f5,ca2-5033d73f3cec5063c5f5.json,4a9f178e23dcc084afdc49f0c7ad37270f0bff44b6a21eb75f6f92d6d07b9e07,VERIFIED,True,alchemy|infura
ca2-50a6237be75e1de28124,ca2-50a6237be75e1de28124.json,50bd3fb5f1743f51a55df863ba30c8338d6553c5e49e4f42a89d46e28fc3d521,VERIFIED,True,alchemy|infura
ca2-511b838cc3ae7420a912,ca2-511b838cc3ae7420a912.json,83da6ea8bcc58b50e5c817affdebfc01e4e067c6aa2e585acfead13fd2ac2276,VERIFIED,True,alchemy|infura
ca2-5168eea9714e081f78ad,ca2-5168eea9714e081f78ad.json,20619b8a1b8c5b4d5f8aca5a610302306454da40377a4f3f372b47481afb93ea,VERIFIED,True,alchemy|infura
ca2-522ebe1e13a3ab2c2fe8,ca2-522ebe1e13a3ab2c2fe8.json,3b609bbc778daa02b6de7b2982273decc8e52c4f2540685175d41b06f4bc3e5d,VERIFIED,True,alchemy|infura
