abstraction,identity_key,n_cases,n_chains,n_addresses,cross_chain,cross_address,chains,addresses,case_ids
chain_address,bsc:0x17bd2e09fa4585c15749f40bb32a6e3db58522ba,1,1,1,False,False,bsc,0x17bd2e09fa4585c15749f40bb32a6e3db58522ba,ca2-9b437de06c56cc873e8a
chain_address,bsc:0x1954b6bd198c29c3ecf2d6f6bc70a4d41ea1cc07,1,1,1,False,False,bsc,0x1954b6bd198c29c3ecf2d6f6bc70a4d41ea1cc07,ca2-6d220be49d90b51ca6fd
chain_address,bsc:0x1962b3356122d6a56f978e112d14f5e23a25037d,1,1,1,False,False,bsc,0x1962b3356122d6a56f978e112d14f5e23a25037d,ca2-786342530794b2d0e951
chain_address,bsc:0x1ac5fac863c0a026e029b173f2ae4d33938ab473,1,1,1,False,False,bsc,0x1ac5fac863c0a026e029b173f2ae4d33938ab473,ca2-5293bf48f2bcc29baaff
chain_address,bsc:0x1befe6f3f0e8edd2d4d15cae97baee01e51ea4a4,1,1,1,False,False,bsc,0x1befe6f3f0e8edd2d4d15cae97baee01e51ea4a4,ca2-2c7f349f1a1765272f4b
chain_address,bsc:0x1bf7fe7568211ecff68b6bc7ccad31ecd8fe8092,1,1,1,False,False,bsc,0x1bf7fe7568211ecff68b6bc7ccad31ecd8fe8092,ca2-42dc2e766a267767f0d8
chain_address,bsc:0x1e813fa05739bf145c1f182cb950da7af046778d,1,1,1,False,False,bsc,0x1e813fa05739bf145c1f182cb950da7af046778d,ca2-14f7f1899d2468d3cabf
chain_address,bsc:0x1f415255f7e2a8546559a553e962de7bc60d7942,1,1,1,False,False,bsc,0x1f415255f7e2a8546559a553e962de7bc60d7942,ca2-3ceb352e665fb61f7402
chain_address,bsc:0x1f7cf218b46e613d1ba54cac11dc1b5368d94fb7,1,1,1,False,False,bsc,0x1f7cf218b46e613d1ba54cac11dc1b5368d94fb7,ca2-f7368dc0ef887de15bf4
chain_address,bsc:0x1f8336aef584795e282fece8de356babd7734c59,1,1,1,False,False,bsc,0x1f8336aef584795e282fece8de356babd7734c59,ca2-6330139e9160d6464fd9
chain_address,bsc:0x21125d94cfe886e7179c8d2fe8c1ea8d57c73e0e,1,1,1,False,False,bsc,0x21125d94cfe886e7179c8d2fe8c1ea8d57c73e0e,ca2-56bcc5cdf2d34dd9c4fb
chain_address,bsc:0x21ab8943380b752306abf4d49c203b011a89266b,1,1,1,False,False,bsc,0x21ab8943380b752306abf4d49c203b011a89266b,ca2-ce552f38ab8199ed551d
chain_address,bsc:0x2287c04a15bb11ad1358ba5702c1c95e2d13a5e0,1,1,1,False,False,bsc,0x2287c04a15bb11ad1358ba5702c1c95e2d13a5e0,ca2-ee23a7f09f8e25f5c7d9
chain_address,bsc:0x2496b87189d5ae18d4d83b8a7039b0c8a07d98d4,1,1,1,False,False,bsc,0x2496b87189d5ae18d4d83b8a7039b0c8a07d98d4,ca2-421dd5bf165b069c74f3
chain_address,bsc:0x2607118d363789f841d952f02e359bfa483955f9,1,1,1,False,False,bsc,0x2607118d363789f841d952f02e359bfa483955f9,ca2-00003c2c7afe8e9ef32d
chain_address,bsc:0x26f1457f067bf26881f311833391b52ca871a4b5,1,1,1,False,False,bsc,0x26f1457f067bf26881f311833391b52ca871a4b5,ca2-cb9d62babfef067f9bc8
chain_address,bsc:0x274b3e185c9c8f4ddef79cb9a8dc0d94f73a7675,1,1,1,False,False,bsc,0x274b3e185c9c8f4ddef79cb9a8dc0d94f73a7675,ca2-f18eddf4c9f68d58e510
chain_address,bsc:0x27539b1dee647b38e1b987c41c5336b1a8dce663,1,1,1,False,False,bsc,0x27539b1dee647b38e1b987c41c5336b1a8dce663,ca2-60b7a39b3acbf3ed1937
chain_address,bsc:0x27dd6e51bf715cfc0e2fe96af26fc9ded89e4be8,1,1,1,False,False,bsc,0x27dd6e51bf715cfc0e2fe96af26fc9ded89e4be8,ca2-411b50fea47298d98579
chain_address,bsc:0x29b2525e11bc0b0e9e59f705f318601ea6756645,1,1,1,False,False,bsc,0x29b2525e11bc0b0e9e59f705f318601ea6756645,ca2-8cf05be564db7065817c
